iter	RMSE
0	13.02385887
1	11.42511277
2	10.16390588
3	9.117386422
4	8.320784796
5	7.729384055
6	7.215303239
7	6.825535256
8	6.443076698
9	6.190897061
10	5.976342535
11	5.806594266
12	5.689884527
13	5.599198351
14	5.491718054
15	5.423030935
16	5.352431646
17	5.295585625
18	5.25564638
19	5.212556243
20	5.177754333
21	5.156747151
22	5.130184816
23	5.102908484
24	5.081278407
25	5.067951738
26	5.045111437
27	5.025524162
28	4.991775853
29	4.975927465
30	4.955713172
31	4.929667053
32	4.91860801
33	4.909563306
34	4.897199239
35	4.882001097
36	4.872154701
37	4.851168422
38	4.836898819
39	4.809588493
40	4.790509552
41	4.770956281
42	4.755950455
43	4.753120963
44	4.743009115
45	4.700313486
46	4.686124085
47	4.672473048
48	4.65757743
49	4.640987545
50	4.628551108
51	4.618820602
52	4.59084703
53	4.549247995
54	4.531630872
55	4.516548561
56	4.505589614
57	4.489003542
58	4.487626699
59	4.475007748
60	4.458138988
61	4.456280641
62	4.447305736
63	4.42377596
64	4.41521751
65	4.391010319
66	4.387783042
67	4.373327319
68	4.353742688
69	4.352403352
70	4.349648561
71	4.345052583
72	4.32395265
73	4.306717475
74	4.299386032
75	4.276154368
76	4.2643267
77	4.243679007
78	4.216616171
79	4.188830599
80	4.171309905
81	4.170950987
82	4.156249784
83	4.147740387
84	4.136343283
85	4.128142981
86	4.108353935
87	4.078423196
88	4.063729803
89	4.056260109
90	4.044999209
91	4.031691737
92	4.020890127
93	3.993862513
94	3.972058385
95	3.958049519
96	3.956576572
97	3.94607992
98	3.941330992
99	3.93335512
100	3.921720825
101	3.890274907
102	3.881831316
103	3.871892151
104	3.843919595
105	3.842239465
106	3.836202684
107	3.815052304
108	3.798363152
109	3.788185955
110	3.783800975
111	3.770532439
112	3.751956347
113	3.742735967
114	3.739190076
115	3.717052261
116	3.705123174
117	3.69375033
118	3.688233714
119	3.674773858
120	3.673878182
121	3.671889482
122	3.65682075
123	3.644042562
124	3.631399389
125	3.612954906
126	3.609486884
127	3.59672855
128	3.591964384
129	3.586421003
130	3.576486273
131	3.575541489
132	3.571727806
133	3.566933849
134	3.552041293
135	3.543645619
136	3.525104519
137	3.52078168
138	3.50840345
139	3.50798482
140	3.499557215
141	3.498324417
142	3.486669735
143	3.481813529
144	3.467614006
145	3.462773822
146	3.453278566
147	3.436426195
148	3.435880141
149	3.424309956
150	3.418990953
151	3.416108078
152	3.413119515
153	3.409683342
154	3.404361351
155	3.398207252
156	3.395943767
157	3.388683369
158	3.373003803
159	3.371650359
160	3.360890675
161	3.342831516
162	3.336472345
163	3.324100341
164	3.315695919
165	3.314462393
166	3.311413783
167	3.303291704
168	3.280791096
169	3.272853161
170	3.258621674
171	3.246560612
172	3.230191296
173	3.225527154
174	3.223758232
175	3.217547618
176	3.21370528
177	3.208785771
178	3.200078054
179	3.187515002
180	3.177318153
181	3.166053042
182	3.152188937
183	3.140922732
184	3.131021096
185	3.125454648
186	3.112421681
187	3.111545202
188	3.111265963
189	3.10675176
190	3.105957559
191	3.096354432
192	3.091539139
193	3.078181215
194	3.073481078
195	3.069656861
196	3.064934285
197	3.059277934
198	3.057639683
199	3.047205523
