iter	Passed	Remaining
0	0	45
1	0	44
2	1	41
3	1	37
4	1	36
5	2	37
6	2	36
7	3	35
8	3	34
9	3	34
10	4	33
11	4	33
12	5	33
13	5	34
14	6	35
15	6	35
16	7	35
17	7	35
18	8	35
19	8	35
20	9	34
21	9	34
22	10	34
23	10	33
24	11	33
25	11	33
26	12	32
27	12	32
28	13	31
29	13	32
30	14	31
31	14	30
32	14	30
33	15	29
34	15	29
35	16	28
36	16	28
37	17	27
38	17	27
39	17	26
40	18	26
41	18	25
42	18	25
43	19	24
44	19	23
45	20	23
46	20	23
47	20	22
48	21	22
49	21	21
50	22	21
51	22	20
52	23	20
53	23	19
54	23	19
55	24	18
56	24	18
57	24	18
58	25	17
59	25	17
60	26	16
61	26	16
62	26	15
63	27	15
64	27	14
65	28	14
66	28	13
67	28	13
68	29	13
69	29	12
70	30	12
71	30	11
72	30	11
73	31	11
74	31	10
75	32	10
76	32	9
77	33	9
78	33	8
79	33	8
80	34	8
81	34	7
82	34	7
83	35	6
84	35	6
85	36	5
86	36	5
87	36	5
88	37	4
89	37	4
90	38	3
91	38	3
92	38	2
93	39	2
94	39	2
95	40	1
96	40	1
97	40	0
98	41	0
99	41	0
