iter	Passed	Remaining
0	57	57552
1	58	29055
2	58	19511
3	59	14745
4	59	11871
5	60	9983
6	60	8640
7	61	7620
8	62	6842
9	62	6210
10	63	5691
11	63	5265
12	64	4896
13	64	4576
14	65	4296
15	66	4067
16	66	3854
17	67	3708
18	68	3538
19	69	3387
20	69	3248
21	70	3120
22	70	3005
23	71	2898
24	71	2799
25	72	2709
26	72	2623
27	73	2543
28	73	2472
29	74	2402
30	74	2340
31	75	2281
32	75	2225
33	76	2176
34	77	2129
35	77	2082
36	78	2036
37	78	1992
38	79	1952
39	79	1917
40	80	1884
41	81	1850
42	81	1817
43	82	1787
44	82	1755
45	83	1727
46	83	1699
47	84	1672
48	84	1647
49	85	1622
50	85	1599
51	86	1577
52	87	1555
53	87	1534
54	88	1512
55	88	1493
56	89	1475
57	89	1457
58	90	1440
59	90	1422
60	91	1405
61	91	1389
62	92	1374
63	93	1360
64	93	1345
65	94	1330
66	94	1316
67	95	1302
68	95	1289
69	96	1276
70	96	1263
71	97	1251
72	97	1240
73	98	1230
74	98	1218
75	99	1208
76	100	1199
77	100	1189
78	101	1179
79	101	1169
80	102	1160
81	102	1152
82	103	1139
83	103	1130
84	104	1121
85	104	1113
86	105	1106
87	105	1097
88	106	1090
89	107	1083
90	107	1076
91	108	1071
92	109	1064
93	109	1057
94	110	1050
95	110	1043
96	111	1037
97	112	1030
98	112	1025
99	113	1019
100	113	1013
101	114	1007
102	114	1001
103	115	995
104	116	989
105	116	983
106	117	977
107	117	972
108	118	966
109	118	960
110	119	955
111	119	950
112	120	945
113	120	940
114	121	935
115	122	930
116	122	924
117	123	920
118	123	915
119	124	911
120	124	907
121	125	901
122	125	897
123	126	893
124	126	888
125	127	884
126	128	883
127	129	881
128	130	878
129	130	874
130	131	869
131	131	865
132	132	861
133	132	857
134	133	854
135	133	851
136	134	848
137	135	845
138	135	841
139	136	838
140	137	835
141	137	830
142	138	827
143	138	824
144	139	821
145	139	818
146	140	816
147	141	812
148	141	809
149	142	807
150	143	804
151	143	802
152	144	800
153	145	797
154	145	794
155	146	792
156	147	789
157	147	787
158	148	784
159	148	781
160	149	777
161	149	774
162	150	773
163	151	770
164	151	768
165	152	766
166	153	763
167	153	761
168	154	759
169	154	756
170	155	754
171	156	752
172	156	750
173	157	747
174	158	745
175	158	743
176	159	741
177	160	739
178	160	737
179	161	735
180	162	733
181	162	731
182	163	729
183	164	727
184	164	725
185	165	723
186	165	721
187	166	719
188	167	718
189	168	716
190	168	714
191	169	711
192	169	709
193	170	708
194	171	706
195	171	704
196	172	703
197	173	701
198	173	699
199	174	697
200	174	695
201	175	693
202	176	691
203	176	689
204	177	687
205	177	685
206	178	683
207	178	681
208	179	679
209	180	677
210	180	675
211	181	673
212	181	671
213	182	669
214	182	667
215	183	666
216	184	664
217	184	662
218	185	660
219	185	658
220	186	657
221	186	655
222	187	653
223	188	651
224	188	649
225	189	648
226	189	646
227	190	644
228	190	642
229	191	641
230	192	639
231	192	637
232	193	636
233	193	634
234	194	632
235	194	630
236	195	628
237	195	627
238	196	625
239	197	623
240	197	622
241	198	620
242	198	619
243	199	617
244	199	615
245	200	614
246	201	612
247	201	611
248	202	610
249	202	608
250	203	606
251	203	605
252	204	603
253	205	602
254	205	600
255	206	598
256	206	597
257	207	596
258	207	594
259	208	593
260	208	591
261	209	590
262	210	588
263	210	587
264	211	585
265	211	584
266	212	583
267	212	581
268	213	580
269	214	578
270	214	577
271	215	575
272	215	574
273	216	573
274	216	571
275	217	570
276	218	569
277	218	567
278	219	566
279	219	565
